,title,description,originallink,link,pubDate
11,영우 아빠 전배수 &quot;좋은 작품 함께해 너무 행복했다&quot; 종영 소감,전배수는 전도유망한 법대생에서 미혼부라는 쉽지 않은 길을 선택한 후 영우(<b>박은빈</b> 분)을 위해 못할 것이 없는 딸 바보 아빠를 연기했다. 한선영(백지원 분)이 태수미(진경 분)을 이기기 위한 목적으로 로펌에 영우를... ,https://www.tvreport.co.kr/2112761,https://n.news.naver.com/mnews/article/213/0001225969?sid=106,"Thu, 18 Aug 2022 10:08:00 +0900"
12,&apos;우영우&apos; 아빠 전배수 종영 소감…&quot;뜨거운 사랑에 깊이 감사&quot;,전배수는 극 중 전도유망한 법대생에서 미혼부라는 쉽지 않은 길을 선택한 후 영우(<b>박은빈</b> 분)을 위해서라면 못할 것이 없는 딸바보 아빠로 열연을 펼쳤다. 한선영(백지원 분)이 태수미(진경 분)을 이기기 위한 목적으로... ,http://starin.edaily.co.kr/news/newspath.asp?newsid=01167686632428632,https://n.news.naver.com/mnews/article/018/0005294942?sid=106,"Thu, 18 Aug 2022 10:07:00 +0900"
13,"함태인, &apos;우영우&apos; 마지막회 출연…<b>박은빈</b>♥강태오 사이 존재감 예고",함태인은 이날 방송에서 우영우(<b>박은빈</b>)와 이준호(강태오)의 애정전선 속 특별한 존재감을 드러낼 예정이다.... &apos;이상한 변호사 우영우&apos;는 천재적인 두뇌와 자폐스펙트럼을 동시에 가진 신입 변호사 우영우(<b>박은빈</b>)의... ,https://www.spotvnews.co.kr/news/articleView.html?idxno=543456,https://n.news.naver.com/mnews/article/477/0000376843?sid=106,"Thu, 18 Aug 2022 10:05:00 +0900"
14,&apos;이상한 변호사 우영우&apos; 국민아빠 전배수 &quot;너무 행복했다. 뜨거운 사랑 감사&quot;...,전배수는 극 중 전도유망한 법대생에서 미혼부라는 쉽지 않은 길을 선택한 후 딸 우영우(<b>박은빈</b> 분)을 위해서라면 못할 것이 없는 딸바보 아빠로 열연을 펼쳤다. 극 중 한선영(백지원)이 태수미(진경)을 이기기 위한... ,http://www.newsinside.kr/news/articleView.html?idxno=1140529,http://www.newsinside.kr/news/articleView.html?idxno=1140529,"Thu, 18 Aug 2022 10:00:00 +0900"
15,"‘우영우父’ 전태수 “좋은 작품, 너무 행복했다” (종영소감)",전배수는 극 중 전도유망한 법대생에서 미혼부라는 쉽지 않은 길을 선택한 후 영우(<b>박은빈</b> 분)을 위해서라면 못할 것이 없는 딸바보 아빠로 열연을 펼쳤다. 한선영(백지원 분)이 태수미(진경 분)을 이기기 위한 목적으로... ,https://sports.donga.com/article/all/20220818/115009237/1,https://n.news.naver.com/mnews/article/382/0000998715?sid=106,"Thu, 18 Aug 2022 09:59:00 +0900"
16,"‘우영우’·‘당소말’·‘아다마스’, 수목드라마 일제히 주춤",이날 방송에는 우영우(<b>박은빈</b>)의 위기와 이별 이야기가 담겼다. 방송 말미에는 친모 태수미(진경) 아들과 만남이 암시돼 궁금증을 더했다. KBS2 ‘당신이 소원을 말하면’ 역시 하락세를 보였다. 같은 날 방송한... ,http://www.kukinews.com/newsView/kuk202208180035,http://www.kukinews.com/newsView/kuk202208180035,"Thu, 18 Aug 2022 09:58:00 +0900"
17,"&apos;이상한 변호사 우영우&apos; 강기영, 엉뚱+섹시 마성의 매력 화보 공개","우영우 역을 맡은 <b>박은빈</b> 배우에 대해 &quot;명석이가 우영우한테 배운 만큼 강기영도 <b>박은빈</b>한테 정말 많이 배웠다&quot;며 연기와 현장에서의 태도를 추켜세우기도 하고, 권민우 역을 맡은 주종혁 배우에 대해서는 &quot;종혁이를 보면... ",http://www.stardailynews.co.kr/news/articleView.html?idxno=328329,http://www.stardailynews.co.kr/news/articleView.html?idxno=328329,"Thu, 18 Aug 2022 09:56:00 +0900"
18,"&apos;이상한 변호사 우영우&apos; <b>박은빈</b> 이부동생, 천재 해커였다 &apos;만남 예고&apos;[TV핫샷...","&apos;이상한 변호사 우영우&apos; <b>박은빈</b> 을 위한 하윤경, 주종혁의 의리와 용기가 빛났다. 17일 방송된 ENA채널... 장승준(최대훈)과 한 팀을 이룬 신입 변호사 우영우(<b>박은빈</b>), 최수연(하윤경), 권민우(주종혁)의 눈부신 활약과... ",https://www.spotvnews.co.kr/news/articleView.html?idxno=543455,https://n.news.naver.com/mnews/article/477/0000376841?sid=106,"Thu, 18 Aug 2022 09:56:00 +0900"
19,&apos;우영우&apos; 아빠 전배수 &quot;우광호 잘가…행복했다&quot;,전배수는 극 중 전도유망한 법대생에서 미혼부라는 쉽지 않은 길을 선택한 후 영우(<b>박은빈</b> 분)을 위해서라면 못할 것이 없는 딸바보 아빠로 열연을 펼쳤다. 한선영(백지원 분)이 태수미(진경 분)을 이기기 위한 목적으로... ,http://enews.imbc.com/News/RetrieveNewsInfo/357167,https://n.news.naver.com/mnews/article/408/0000164466?sid=106,"Thu, 18 Aug 2022 09:56:00 +0900"
20,&apos;우영우&apos; 15회까지 달린 시청자들 당황스럽게 만든 어제자 최수연 &apos;고백&apos; 장면...,17일 방송된 ENA &apos;이상한 변호사 우영우&apos;에서는 장승준(최대훈 분)과의 마찰로 팀에서 쫓겨난 우영우(<b>박은빈</b> 분)를 두고 의견 차이를 보이는 최수연(하윤경 분)과 권민우(주종혁 분)의 모습이 그려졌다.권민우는 차수연에게... ,https://www.insight.co.kr/news/408387,https://www.insight.co.kr/news/408387,"Thu, 18 Aug 2022 09:56:00 +0900"
